# Words not present in GoogleNews word2vec model
# in (word, count) format
 

('cisneros', 5)
('thanksmargaret', 5)
('rq', 5)
('rtc', 5)
('rns', 5)
('garciarn', 5)
('leungs', 5)
('gvf', 5)
('caremark', 5)
('dialated', 5)
('pfat', 5)
('fluorometholone', 5)
('cabebe', 5)
('renaliza', 5)
('stpap', 5)
('gutierrez', 5)
('emiko', 5)
('chidley', 5)
('drchang', 5)
('changs', 5)
('tatum', 5)
('xiidra', 5)
('pataday', 5)
('patanol', 5)
('maloney', 5)
('roxanna', 5)
('rcvd', 5)
('johansen', 5)
('nawal', 5)
('liane', 5)
('atwan', 5)
('myfortic', 5)
('ozweek', 5)
('lovenox', 5)
('xidra', 5)
('woodside', 5)
('riker', 5)
('delia', 5)
('schlesinger', 5)
('borillo', 5)
('mestinon', 5)
('cordova', 5)
('prk', 5)
('burse', 5)
('darryl', 5)
('manche', 5)
('leyson', 5)
('evangeline', 5)
('scleritis', 4)
('rxd', 4)
('isopto', 4)
('kirandeep', 4)
('vsp', 4)
('drfisher', 4)
('subhyaloid', 4)
('oncall', 4)
('jowza', 4)
('hooshang', 4)
('doris', 4)
('guadalupe', 4)
('agcaoili', 4)
('lacrilube', 4)
('subjectivehpi', 4)
('systane', 4)
('gerd', 4)
('schrupp', 4)
('vaden', 4)
('tarsorrhaphy', 4)
('lpch', 4)
('sekimura', 4)
('yasuo', 4)
('laberstanfordhealthcareorg', 4)
('episcleritis', 4)
('alrex', 4)
('ceiol', 4)
('eatdrink', 4)
('marlene', 4)
('betaxolol', 4)
('deltasone', 4)
('kenlenia', 4)
('qhs', 4)
('predforte', 4)
('pochari', 4)
('saratogasunnyvale', 4)
('gabriela', 4)
('ophth', 4)
('kansora', 4)
('vitreal', 4)
('descemets', 4)
('wellperfused', 4)
('perrl', 4)
('proparacaine', 4)
('drinkwater', 4)
('okd', 4)
('etoh', 4)
('eichorn', 4)
('audrey', 4)
('izadian', 4)
('shahin', 4)
('xday', 4)
('brierley', 4)
('wilbur', 4)
('hsv', 4)
('hcc', 4)
('onactivateciactinc', 4)
('tearse', 4)
('cnv', 4)
('contreras', 4)
('zarene', 4)
('elspeth', 4)
('fairmont', 4)
('rowena', 3)
('irn', 3)
('referralauth', 3)
('lorella', 3)
('recvd', 3)
('kilroe', 3)
('airfluid', 3)
('hivesurticaria', 3)
('zofran', 3)
('fijalkowski', 3)
('beyers', 3)
('reichenbach', 3)
('antiitch', 3)
('viewonly', 3)
('copd', 3)
('fluoroscein', 3)
('assessmentrecommendations', 3)
('rehana', 3)
('kipp', 3)
('nevanac', 3)
('adivse', 3)
('lodi', 3)
('eremington', 3)
('lucie', 3)
('coughlan', 3)
('refax', 3)
('evamaria', 3)
('ealexanderstanfordhealthcareorg', 3)
('ndquanstanfordedu', 3)
('eom', 3)
('silverio', 3)
('raphael', 3)
('datetime', 3)
('rowland', 3)
('lastacaft', 3)
('lifitegrast', 3)
('askd', 3)
('pacifica', 3)
('schachar', 3)
('facilityadministered', 3)
('bacitracinpolymyxin', 3)
('nsaids', 3)
('thinningmedications', 3)
('dismuke', 3)
('optive', 3)
('borisovich', 3)
('sigal', 3)
('subhas', 3)
('dfe', 3)
('wenshin', 3)
('chalazion', 3)
('alvarez', 3)
('angelita', 3)
('lohshan', 3)
('trab', 3)
('acuvue', 3)
('karla', 3)
('zymaxid', 3)
('monthsno', 3)
('httpsstanfordhcservicenowcomedueduviewdosysparmarticlekb', 3)
('tricia', 3)
('paulus', 3)
('ellsworth', 3)
('koga', 3)
('egbert', 3)
('azarnoush', 3)
('bahareh', 3)
('siedel', 3)
('aarthi', 3)
('xweek', 3)
('antivegf', 3)
('brvo', 3)
('cnvm', 3)
('areds', 3)
('pharamcy', 3)
('pinos', 3)
('svt', 3)
('isihara', 3)
('vinh', 3)
('pettyplace', 3)
('jadelynn', 3)
('livermore', 3)
('bakal', 3)
('ronit', 3)
('brca', 3)
('cellcept', 3)
('zakin', 3)
('medimpact', 3)
('mirian', 3)
('pascua', 3)
('jonalyn', 3)
('sandovalperez', 3)
('arora', 3)
('npcs', 3)
('fornices', 3)
('adil', 3)
('typenew', 3)
('mcguire', 3)
('valdez', 3)
('barsoumian', 3)
('koret', 3)
('ctastanfordedu', 3)
('teymoorian', 3)
('nvg', 3)
('iol', 3)
('moshfeghis', 3)
('straube', 3)
('stargardts', 3)
('eddens', 3)
('povolotskiy', 3)
('moisey', 3)
('apostol', 3)
('vrigitte', 3)
('engelman', 3)
('stupak', 3)
('svetlana', 3)
('neuroophthalmology', 2)
('edvenson', 2)
('gertrude', 2)
('vep', 2)
('liaos', 2)
('micki', 2)
('nestor', 2)
('euphemiealvarez', 2)
('salehin', 2)
('nazmuz', 2)
('nita', 2)
('betopic', 2)
('wpt', 2)
('liaonakisha', 2)
('phaphon', 2)
('merced', 2)
('pelase', 2)
('vazquez', 2)
('kristliustanfordedu', 2)
('ccsh', 2)
('almeida', 2)
('tdm', 2)
('trd', 2)
('nonmeds', 2)
('vitritis', 2)
('csme', 2)
('casillas', 2)
('kato', 2)
('rxed', 2)
('lidslashes', 2)
('gamino', 2)
('quincie', 2)
('carrdavis', 2)
('armandocharles', 2)
('azasite', 2)
('prednison', 2)
('masek', 2)
('palp', 2)
('oconnor', 2)
('wthis', 2)
('bolanos', 2)
('gotlib', 2)
('prickett', 2)
('kettleman', 2)
('silveria', 2)
('vosburgh', 2)
('virgil', 2)
('refridgerated', 2)
('chhoy', 2)
('hidoctors', 2)
('carlsbad', 2)
('loker', 2)
('whisler', 2)
('sunga', 2)
('malini', 2)
('eichner', 2)
('mccampbell', 2)
('mdnurse', 2)
('occulsion', 2)
('sclaritis', 2)
('repp', 2)
('hydrocodoneacetaminophen', 2)
('euna', 2)
('ekpo', 2)
('fmla', 2)
('abdollahian', 2)
('mowry', 2)
('anzoleaga', 2)
('callfax', 2)
('huajuan', 2)
('nstokesstanfordhealthcareorg', 2)
('lgreerstanfordedu', 2)
('sarlinstanfordhealthcareorg', 2)
('pacheco', 2)
('banos', 2)
('htn', 2)
('epiphora', 2)
('ophtho', 2)
('outpt', 2)
('genteal', 2)
('todominican', 2)
('soquel', 2)
('blackmer', 2)
('visalia', 2)
('prepost', 2)
('grey', 2)
('orthro', 2)
('byrum', 2)
('sanislos', 2)
('armando', 2)
('santiago', 2)
('aida', 2)
('hanley', 2)
('epstein', 2)
('polysporin', 2)
('unitg', 2)
('gdl', 2)
('neut', 2)
('lym', 2)
('baso', 2)
('thromboplastin', 2)
('recd', 2)
('rheum', 2)
('ouye', 2)
('temporarymobile', 2)
('alvarado', 2)
('onhold', 2)
('mamat', 2)
('fugax', 2)
('zaditor', 2)
('colclough', 2)
('isnt', 2)
('mcgettigan', 2)
('junipero', 2)
('vergara', 2)
('nilda', 2)
('mrsa', 2)
('mersa', 2)
('jelissa', 2)
('levett', 2)
('iyengar', 2)
('rukmini', 2)
('fatemi', 2)
('mahyar', 2)
('lfts', 2)
('milpitas', 2)
('npv', 2)
('anselmo', 2)
('karijo', 2)
('vanderschoot', 2)
('neuroophthalmologist', 2)
('zymar', 2)
('mruthyunjaya', 2)
('prithvi', 2)
('hildy', 2)
('romycin', 2)
('mggram', 2)
('neosporin', 2)
('crisalli', 2)
('tearlattice', 2)
('dbhs', 2)
('aguilar', 2)
('resch', 2)
('qubain', 2)
('faris', 2)
('rbvo', 2)
('concar', 2)
('chakravorty', 2)
('applanation', 2)
('microcystic', 2)
('etdrs', 2)
('blumenkranzs', 2)
('slitlamp', 2)
('anca', 2)
('autorefraction', 2)
('sceral', 2)
('choraidal', 2)
('fourteenpoint', 2)
('integumentary', 2)
('hematologiclymphatic', 2)
('allergicimmunologic', 2)
('pleuritis', 2)
('manarang', 2)
('snellen', 2)
('mydriacyl', 2)
('ofloxacinvigamox', 2)
('metamorphopsia', 2)
('lucentis', 2)
('seidel', 2)
('cystoid', 2)
('intraretinal', 2)
('mahalanabis', 2)
('satyaki', 2)
('bhumbla', 2)
('assia', 2)
('irene', 2)
('rhopressa', 2)
('gushchin', 2)
('chausow', 2)
('duan', 2)
('feldene', 2)
('cigna', 2)
('kondo', 2)
('akpolybac', 2)
('cea', 2)
('vagelos', 2)
('spiriva', 2)
('moodaffect', 2)
('fluctuance', 2)
('chemosis', 2)
('undilated', 2)
('gould', 2)
('norwood', 2)
('benzalkonium', 2)
('narayan', 2)
('predisone', 2)
('oracia', 2)
('jayne', 2)
('panuco', 2)
('jere', 2)
('humprey', 2)
('vasconcellos', 2)
('josefsberg', 2)
('hungup', 2)
('syneresis', 2)
('millheiser', 2)
('pinguecula', 2)
('eyern', 2)
('aquity', 2)
('plioamil', 2)
('guantity', 2)
('galvan', 2)
('olivascuenca', 2)
('itp', 2)
('precuations', 2)
('floorunit', 2)
('cherkas', 2)
('immanuel', 2)
('gelforming', 2)
('raquel', 2)
('medciation', 2)
('wlocal', 2)
('rhegmatogenous', 2)
('tubulovillous', 2)
('weisman', 2)
('trx', 2)
('rrd', 2)
('mckee', 2)
('masha', 2)
('lussier', 2)
('ferrer', 2)
('mannycris', 2)
('geoffrey', 2)
('nakishas', 2)
('translab', 2)
('blevins', 2)
('nikolas', 2)
('csf', 2)
('cupertino', 2)
('tammie', 2)
('araceli', 2)
('summarychartappt', 2)
('emailother', 2)
('advisment', 2)
('subfoveal', 2)
('laxmi', 2)
('imee', 2)
('parham', 2)
('knezevich', 2)
('wpw', 2)
('doxy', 2)
('cheradee', 2)
('emg', 2)
('gebru', 2)
('slck', 2)
('alyssa', 2)
('tayeri', 2)
('lombardi', 2)
('harriet', 2)
('alcon', 2)
('ledesma', 2)
('vhc', 2)
('oasys', 2)
('alshammari', 2)
('fluocinolone', 2)
('nizoral', 2)
('retinopexy', 2)
('shafer', 2)
('villegas', 2)
('nacey', 2)
('rabia', 2)
('shafers', 2)
('rpe', 2)
('trusopt', 2)
('briova', 2)
('shakoor', 2)
('barba', 2)
('consuelo', 2)
('tully', 2)
('bryers', 2)
('betancourt', 2)
('istalol', 2)
('gregoria', 1)
('yinhua', 1)
('unavail', 1)
('gilroy', 1)
('fluoromethalone', 1)
('rimexolone', 1)
('shiqiu', 1)
('exaplaining', 1)
('laio', 1)
('pastpt', 1)
('frok', 1)
('signuature', 1)
('refillplscall', 1)
('flashesfloaterscurtaining', 1)
('kessler', 1)
('todaypatient', 1)
('savell', 1)
('managermdiaz', 1)
('asvsd', 1)
('trratment', 1)
('freeto', 1)
('nquyen', 1)
('wiebe', 1)
('sraboni', 1)
('sansilo', 1)
('techrn', 1)
('emial', 1)
('nakishacan', 1)
('rchangstanfordedu', 1)
('saucedo', 1)
('almedia', 1)
('tractional', 1)
('concomminant', 1)
('midtemporal', 1)
('lightfloatersdecreased', 1)
('tbut', 1)
('inferotemporal', 1)
('midperipheral', 1)
('penisini', 1)
('transportationplease', 1)
('griselda', 1)
('barragan', 1)
('visionshare', 1)
('vigamix', 1)
('requestinsisted', 1)
('caratitiscall', 1)
('codine', 1)
('latorre', 1)
('darius', 1)
('fomrs', 1)
('seqoia', 1)
('thispls', 1)
('nasea', 1)
('externalslit', 1)
('conjsclera', 1)
('teardialysis', 1)
('superonasally', 1)
('sbppvelsf', 1)
('verball', 1)
('nonprism', 1)
('orbitfaceneck', 1)
('recevd', 1)
('qdn', 1)
('nondrowsy', 1)
('meniere', 1)
('hiatal', 1)
('counselingdiscussion', 1)
('lubricatin', 1)
('elsawys', 1)
('schrupps', 1)
('gotlieb', 1)
('renonv', 1)
('engler', 1)
('bepreve', 1)
('rednessrequest', 1)
('tatbusiness', 1)
('stathas', 1)
('uppper', 1)
('regardsto', 1)
('optumrxph', 1)
('elicia', 1)
('changewalgreens', 1)
('ramon', 1)
('ordersmsg', 1)
('drronald', 1)
('parnassus', 1)
('erny', 1)
('noreen', 1)
('azelaftinesci', 1)
('neededles', 1)
('dialation', 1)
('sentcalled', 1)
('rocklin', 1)
('catescopeland', 1)
('teart', 1)
('facehead', 1)
('neomycinpolymyxindexamethasone', 1)
('emycin', 1)
('patricks', 1)
('experienceing', 1)
('turlock', 1)
('phn', 1)
('robinfollowed', 1)
('kastelein', 1)
('veerappan', 1)
('boswell', 1)
('cliniccalls', 1)
('sxs', 1)
('provder', 1)
('alcaraz', 1)
('adreanna', 1)
('hollings', 1)
('lanesha', 1)
('eislerduvall', 1)
('jurges', 1)
('ryann', 1)
('iformed', 1)
('dropbottle', 1)
('sleeppus', 1)
('qfc', 1)
('holger', 1)
('yim', 1)
('besttime', 1)
('pleaes', 1)
('reyna', 1)
('alcorn', 1)
('lmssh', 1)
('medlatanoprost', 1)
('tosleep', 1)
('cecelia', 1)
('scotts', 1)
('roldan', 1)
('tisovec', 1)
('adrianna', 1)
('mayra', 1)
('floorsnhc', 1)
('shouldnt', 1)
('respondedpls', 1)
('transderm', 1)
('scop', 1)
('shaoyang', 1)
('demographicsadded', 1)
('kanemoto', 1)
('jocelyn', 1)
('apprived', 1)
('andrearx', 1)
('mtx', 1)
('mailtomonicadiazstanfordhealthcareorg', 1)
('mailtonstokesstanfordhealthcareorg', 1)
('monicadiazstanfordhealthcareorg', 1)
('qh', 1)
('epicmessaged', 1)
('ptcalled', 1)
('woyuld', 1)
('thisshe', 1)
('timeplsassist', 1)
('mutltifocal', 1)
('preanesthesia', 1)
('photosvisual', 1)
('fieldsscans', 1)
('tofrom', 1)
('datelocation', 1)
('numberaddress', 1)
('menzies', 1)
('llm', 1)
('acycloviron', 1)
('lyndie', 1)
('drlambert', 1)
('marcharil', 1)
('naksiha', 1)
('cioptan', 1)
('wallgreens', 1)
('millbrae', 1)
('blurrywould', 1)
('ststing', 1)
('etabonate', 1)
('alcaftadine', 1)
('nstokes', 1)
('expw', 1)
('rricostanfordhealthcareorg', 1)
('wdr', 1)
('brimonidinegeneric', 1)
('clinicwanted', 1)
('painpressureheadachenauseapartialloss', 1)
('ciprodex', 1)
('medicalquestion', 1)
('tricare', 1)
('groth', 1)
('genetric', 1)
('leandro', 1)
('hctz', 1)
('pontocaine', 1)
('fluoristrip', 1)
('wbc', 1)
('rbc', 1)
('milul', 1)
('mcv', 1)
('mchc', 1)
('rdw', 1)
('ptt', 1)
('coags', 1)
('medicaremedical', 1)
('latanaprost', 1)
('whistory', 1)
('rednessswellingitching', 1)
('sparcpatient', 1)
('freferred', 1)
('asapwithin', 1)
('mddr', 1)
('schackar', 1)
('backclinic', 1)
('canthoplasty', 1)
('patientfamily', 1)
('numberjose', 1)
('dacio', 1)
('rescheduked', 1)
('pleasec', 1)
('marton', 1)
('maximart', 1)
('januarypls', 1)
('wasto', 1)
('opthaine', 1)
('vvs', 1)
('gavapentin', 1)
('rengstorf', 1)
('systm', 1)
('swc', 1)
('nonpainful', 1)
('inferonasal', 1)
('xcm', 1)
('nonerythematous', 1)
('adnan', 1)
('fraises', 1)
('inflamase', 1)
('icp', 1)
('edeltraud', 1)
('foxworthy', 1)
('blumenkranzhe', 1)
('preauth', 1)
('corisoprodol', 1)
('parafon', 1)
('chlorzoxazone', 1)
('polymixin', 1)
('issuetime', 1)
('wprovider', 1)
('wdark', 1)
('curtainfeild', 1)
('visioncurtain', 1)
('medicationmed', 1)
('handsfeetlegs', 1)
('irritabilityanxietypalpitations', 1)
('breathincrease', 1)
('palpitationspain', 1)
('dizzinessheadache', 1)
('novemeber', 1)
('drelsawy', 1)
('juvederm', 1)
('eprescribed', 1)
('hwangs', 1)
('lubricationcomfort', 1)
('painloss', 1)
('patrickop', 1)
('burningitchy', 1)
('flashesfloaterscurtains', 1)
('pfats', 1)
('phelan', 1)
('blebitis', 1)
('tearingleakage', 1)
('oculflox', 1)
('requesttime', 1)
('felipe', 1)
('roommmate', 1)
('spke', 1)
('advisd', 1)
('onper', 1)
('bendix', 1)
('prestonmaren', 1)
('medicaiton', 1)
('joegard', 1)
('yus', 1)
('denniston', 1)
('bugarini', 1)
('suzellanlynn', 1)
('agoand', 1)
('toothteeth', 1)
('followign', 1)
('farsi', 1)
('preprocedurally', 1)
('leticia', 1)
('hogle', 1)
('thelma', 1)
('erx', 1)
('tittlers', 1)
('canthal', 1)
('prescibed', 1)
('anddizziness', 1)
('twicea', 1)
('rhey', 1)
('worseconverted', 1)
('dawes', 1)
('zalatan', 1)
('surgicenter', 1)
('medcalf', 1)
('weinberg', 1)
('trisha', 1)
('ahuja', 1)
('occular', 1)
('interpeter', 1)
('phamacy', 1)
('mra', 1)
('genrate', 1)
('shaundra', 1)
('mrimra', 1)
('wingert', 1)
('sharen', 1)
('tyco', 1)
('flaoters', 1)
('netarsudil', 1)
('wnakisha', 1)
('ocudose', 1)
('wout', 1)
('fussion', 1)
('lynnsuzellan', 1)
('novixus', 1)
('notedplease', 1)
('bergman', 1)
('sny', 1)
('hipschman', 1)
('freda', 1)
('cayabyab', 1)
('hipschmanirving', 1)
('summaryrn', 1)
('leavenworth', 1)
('eyespinkwateryburningswollen', 1)
('uccgeneral', 1)
('malkiel', 1)
('revekka', 1)
('neomycinneosporin', 1)
('mederythromycin', 1)
('discomfortswelling', 1)
('discorex', 1)
('changrn', 1)
('xibrom', 1)
('savon', 1)
('ptequests', 1)
('shanklin', 1)
('figueroa', 1)
('premable', 1)
('lensesfitted', 1)
('premeable', 1)
('panretinal', 1)
('marmors', 1)
('aasma', 1)
('urgen', 1)
('lyrica', 1)
('patietn', 1)
('maxidex', 1)
('cecilias', 1)
('biscayne', 1)
('olivares', 1)
('montserrat', 1)
('leiters', 1)
('phmb', 1)
('drou', 1)
('inferotemporally', 1)
('setiono', 1)
('prabhjot', 1)
('blacow', 1)
('dlbcl', 1)
('ascan', 1)
('subconj', 1)
('istent', 1)
('overbooke', 1)
('rubys', 1)
('newberry', 1)
('valtres', 1)
('dxpvd', 1)
('psuedophakia', 1)
('blumenkrans', 1)
('diazepan', 1)
('isdull', 1)
('isconstant', 1)
('includenone', 1)
('esr', 1)
('dsdna', 1)
('canca', 1)
('ddimer', 1)
('sleritis', 1)
('liley', 1)
('rheu', 1)
('tnfalpha', 1)
('cxr', 1)
('faceto', 1)
('imt', 1)
('byerseye', 1)
('idchief', 1)
('visithistory', 1)
('hcq', 1)
('episcleritisscleritis', 1)
('lasereye', 1)
('adnexae', 1)
('spectralis', 1)
('fhpmhpshsocial', 1)
('orif', 1)
('iud', 1)
('voltaren', 1)
('csn', 1)
('goldstein', 1)
('painfulwhen', 1)
('streroid', 1)
('firday', 1)
('refilltime', 1)
('tromethamine', 1)
('phthisical', 1)
('roberston', 1)
('polymalgia', 1)
('oddry', 1)
('eyelea', 1)
('phthisis', 1)
('baerveldt', 1)
('ectropion', 1)
('endopigment', 1)
('openangle', 1)
('infxn', 1)
('edemadry', 1)
('schacar', 1)
('berube', 1)
('infrom', 1)
('balasubramani', 1)
('viswanathan', 1)
('nacl', 1)
('beress', 1)
('drbinder', 1)
('agagin', 1)
('sklansky', 1)
('nurrse', 1)
('nusre', 1)
('goins', 1)
('dvt', 1)
('anticoag', 1)
('afternoonmr', 1)
('brinzolamidebrimonidine', 1)
('orderedpe', 1)
('assisst', 1)
('cospot', 1)
('ptn', 1)
('arons', 1)
('edemaerythema', 1)
('tno', 1)
('psvt', 1)
('cxrs', 1)
('pfts', 1)
('alvesco', 1)
('baselin', 1)
('normocytic', 1)
('dxd', 1)
('leftsided', 1)
('ekgs', 1)
('dse', 1)
('nsvt', 1)
('esophagram', 1)
('cricopharyngeal', 1)
('tibiafibula', 1)
('iib', 1)
('wle', 1)
('endardectomy', 1)
('orchiopexy', 1)
('upenn', 1)
('chicagoretired', 1)
('daysweek', 1)
('xopenex', 1)
('norvasc', 1)
('handihaler', 1)
('cpdv', 1)
('singulair', 1)
('cozaar', 1)
('zocor', 1)
('zetia', 1)
('mometasoneformoterol', 1)
('dulera', 1)
('mcgactuation', 1)
('hfaa', 1)
('desat', 1)
('facecheek', 1)
('honeycolored', 1)
('honeycrusted', 1)
('ezcema', 1)
('herpeticum', 1)
('ivyoak', 1)
('purulence', 1)
('polybac', 1)
('youandrea', 1)
('cellhome', 1)
('vmessages', 1)
('painvcdisturbancies', 1)
('willden', 1)
('pthas', 1)
('flahes', 1)
('asisst', 1)
('mcnulty', 1)
('meighan', 1)
('nformed', 1)
('assessmentevauation', 1)
('reddishpurple', 1)
('headpt', 1)
('blurried', 1)
('symptoes', 1)
('optivar', 1)
('eleonora', 1)
('ladmaries', 1)
('durazol', 1)
('danies', 1)
('rpescription', 1)
('soes', 1)
('isabel', 1)
('discomfot', 1)
('continueusing', 1)
('shimada', 1)
('sequioa', 1)
('balzerit', 1)
('ehsan', 1)
('jamila', 1)
('teg', 1)
('pgyii', 1)
('descirbes', 1)
('eyedops', 1)
('adivsed', 1)
('onbrinzolamidebrimonidine', 1)
('goodmorning', 1)
('afts', 1)
('initll', 1)
('terars', 1)
('artifcal', 1)
('xidratherefore', 1)
('laca', 1)
('uncontrol', 1)
('nowpatient', 1)
('rnpanic', 1)
('tobramycindexamethamethasone', 1)
('tobradex', 1)
('mgi', 1)
('husain', 1)
('shabnam', 1)
('mahajan', 1)
('theratears', 1)
('savemart', 1)
('copiedpt', 1)
('ptcopied', 1)
('notern', 1)
('liverkidney', 1)
('nguyencrm', 1)
('youmd', 1)
('visionsevere', 1)
('cloudinessloss', 1)
('visioncurtainfield', 1)
('wednesdaythursday', 1)
('nakishaplease', 1)
('flashesfloaters', 1)
('tinometry', 1)
('brinzlamide', 1)
('headacheeye', 1)
('surgerylasersprocedures', 1)
('leiden', 1)
('sentinal', 1)
('carcinomaassociated', 1)
('dirbas', 1)
('currettage', 1)
('dermatofibroma', 1)
('upperouter', 1)
('schafers', 1)
('sde', 1)
('tearhole', 1)
('eliasieh', 1)
('liaoorder', 1)
('callan', 1)
('humphry', 1)
('schd', 1)
('skolnick', 1)
('aetnas', 1)
('precert', 1)
('swolllen', 1)
('namenda', 1)
('resquesting', 1)
('gaynon', 1)
('atwater', 1)
('myhalth', 1)
('expereincing', 1)
('prednsione', 1)
('hypocomplementemia', 1)
('raynauds', 1)
('meitzu', 1)
('erythematosis', 1)
('tearbreakdetachment', 1)
('nvs', 1)
('kyrene', 1)
('besure', 1)
('verar', 1)
('zamoramario', 1)
('timopticxr', 1)
('cpsr', 1)
('suffificient', 1)
('doesage', 1)
('shawnna', 1)
('pupilary', 1)
('keterolac', 1)
('newgren', 1)
('nonarteritic', 1)
('lenscrafters', 1)
('saccular', 1)
('vagifem', 1)
('perfluoron', 1)
('endodiathermy', 1)
('parkinsons', 1)
('pco', 1)
('tdap', 1)
('milheiser', 1)
('mammogramsbreast', 1)
('ppvsbelgas', 1)
('kapil', 1)
('armida', 1)
('monta', 1)
('regaring', 1)
('prefereably', 1)
('mzo', 1)
('elsa', 1)
('dizolimide', 1)
('modesto', 1)
('stratching', 1)
('peasanton', 1)
('mris', 1)
('priovide', 1)
('anytimetuesdays', 1)
('forthere', 1)
('lenie', 1)
('lakitra', 1)
('suzie', 1)
('requestdirections', 1)
('tabin', 1)
('kailua', 1)
('palani', 1)
('scfp', 1)
('sulfacetamide', 1)
('jacinto', 1)
('brominidine', 1)
('lowcompletely', 1)
('latanprost', 1)
('walreens', 1)
('redswollen', 1)
('dischargeunable', 1)
('verablizes', 1)
('verticleflashes', 1)
('poolchlorine', 1)
('rectosigmoid', 1)
('epiduralv', 1)
('trasforaminal', 1)
('epidurogram', 1)
('translabyrinthine', 1)
('piluek', 1)
('suzan', 1)
('ecxam', 1)
('dirvers', 1)
('changbut', 1)
('formreadings', 1)
('sager', 1)
('johanna', 1)
('coopertalmadge', 1)
('lebreton', 1)
('rnma', 1)
('almadenvia', 1)
('calente', 1)
('neomycinpoly', 1)
('regaurds', 1)
('abott', 1)
('vons', 1)
('drkistler', 1)
